no,symbol,company_name,stock_price,volume,market_cap
1,AREB,"American Rebel Holdings, Inc.",19.5,81300353,1.92M
2,AEHL,Antelope Enterprise Holdings Limited,4.25,11088217,3.54M
3,IBO,Impact BioMedical Inc.,0.93,1102326217,11.24M
4,CXAI,CXApp Inc.,1.42,90415229,23.37M
5,LOCL,Local Bounti Corporation,4.75,473122,41.11M
6,XHG,XChange TEC.INC,1.11,2802182,22.78M
7,WCT,Wellchange Holdings Company Limited,0.28,202706940,12.95M
8,SOBR,"SOBR Safe, Inc.",4.93,1246754,454.46K
9,NTCL,NetClass Technology Inc,9.8,366049,174.73M
10,MHLD,"Maiden Holdings, Ltd.",0.79,626595,78.28M
11,FORD,"Forward Industries, Inc.",6.8,526575,7.49M
12,ICCT,iCoreConnect Inc.,5.71,82285797,7.96M
13,ALDX,"Aldeyra Therapeutics, Inc.",1.89,12895936,112.85M
14,RGC,Regencell Bioscience Holdings Limited,32.21,240589,419.14M
15,NTHI,"NeOnc Technologies Holdings, Inc.",12.56,93729,235.45M
16,VRCA,Verrica Pharmaceuticals Inc.,0.53,781585,48.65M
17,NWTG,Newton Golf Company,1.86,2612467,552.76K
18,NWTN,NWTN Inc.,0.402,21563807,115.10M
19,PAMT,Pamt Corp.,13.58,195451,295.92M
20,AUUD,Auddia Inc.,4.9,193155,2.48M
